Date,Price,Open,High,Low,Vol.,Change %,Weekly Return
2021-12-26,336.32,335.46,344.3,335.43,84.65M,0.49%,
2022-01-02,314.04,335.35,338.0,310.09,174.01M,-6.62%,-6.624643196955271
2022-01-09,310.2,309.48,323.41,303.75,193.26M,-1.22%,-1.2227741688956906
2022-01-16,296.03,304.07,313.91,295.61,181.73M,-4.57%,-4.568020631850422
2022-01-23,308.26,292.2,308.5,276.05,352.54M,4.13%,4.131338040063515
2022-01-30,305.94,308.95,315.12,299.96,202.86M,-0.75%,-0.7526114319081234
2022-02-06,295.04,306.17,311.93,294.22,176.80M,-3.56%,-3.5627900895600417
2022-02-13,287.93,293.77,300.87,286.3,160.45M,-2.41%,-2.4098427331887273
2022-02-20,297.31,285.0,297.63,271.52,169.08M,3.26%,3.257736255339827
2022-02-27,289.86,294.31,303.13,287.17,157.40M,-2.51%,-2.5058020248225676
2022-03-06,280.07,288.53,289.69,270.0,184.36M,-3.38%,-3.377492582626107
2022-03-13,300.43,280.34,301.0,275.82,176.94M,7.27%,7.269611168636425
2022-03-20,303.68,298.89,305.5,294.9,128.72M,1.08%,1.081782778018181
2022-03-27,309.42,304.33,315.95,304.33,148.67M,1.89%,1.8901475237091736
2022-04-03,296.97,310.09,315.11,296.28,143.38M,-4.02%,-4.023657165018413
2022-04-10,279.83,291.79,292.61,279.32,115.66M,-5.77%,-5.771626763646176
2022-04-17,274.03,278.91,293.3,273.38,124.84M,-2.07%,-2.072686988528749
2022-04-24,277.52,273.29,290.98,270.0,216.40M,1.27%,1.2735831843228906
2022-05-01,274.73,277.71,290.88,271.27,175.77M,-1.01%,-1.0053329489766338
2022-05-08,261.12,270.06,273.75,250.02,222.00M,-4.95%,-4.953954791977577
2022-05-15,252.56,259.95,268.33,246.44,164.63M,-3.28%,-3.278186274509809
2022-05-22,273.24,255.49,273.34,253.43,142.68M,8.19%,8.18815331010454
2022-05-29,270.02,272.53,277.69,261.6,135.19M,-1.18%,-1.1784511784511897
2022-06-05,252.99,272.06,274.18,252.53,120.52M,-6.31%,-6.306940226649871
2022-06-12,247.65,245.11,255.3,241.51,184.15M,-2.11%,-2.1107553658247347
2022-06-19,267.7,250.26,267.98,249.51,115.67M,8.10%,8.096103371693907
2022-06-26,259.58,268.2,268.3,252.9,126.63M,-3.03%,-3.033246171087045
2022-07-03,267.66,256.16,269.05,254.74,87.31M,3.11%,3.112720548578496
2022-07-10,256.72,265.65,266.53,245.94,139.76M,-4.09%,-4.087274900993798
2022-07-17,260.36,259.75,265.33,253.3,113.06M,1.42%,1.4178871922717384
2022-07-24,280.74,260.99,282.0,249.57,172.01M,7.83%,7.82762329082809
2022-07-31,282.91,277.82,283.8,272.38,102.69M,0.77%,0.7729571845836114
2022-08-07,291.91,284.05,291.91,277.61,109.54M,3.18%,3.1812237107207153
2022-08-14,286.15,291.0,294.18,285.56,92.20M,-1.97%,-1.973210921174351
2022-08-21,268.09,282.08,282.46,267.98,104.86M,-6.31%,-6.3113751528918405
2022-08-28,256.06,265.85,267.4,254.47,114.02M,-4.49%,-4.487299041366699
2022-09-04,264.46,256.2,265.23,251.94,87.87M,3.28%,3.2804811372334486
2022-09-11,244.74,265.78,267.45,242.06,147.34M,-7.46%,-7.456704227482403
2022-09-18,237.92,242.46,247.66,235.2,147.35M,-2.79%,-2.78663071014138
2022-09-25,232.9,237.04,242.33,232.73,146.92M,-2.11%,-2.1099529253530536
2022-10-02,234.24,235.41,250.58,233.17,142.13M,0.58%,0.575354229282965
2022-10-09,228.56,233.05,237.24,219.13,154.87M,-2.42%,-2.424863387978149
2022-10-16,242.12,235.82,243.93,234.29,122.57M,5.93%,5.932796639831994
2022-10-23,235.87,243.76,251.04,225.78,223.44M,-2.58%,-2.581364612588799
2022-10-30,221.39,233.76,235.74,213.43,170.78M,-6.14%,-6.1389748590325315
2022-11-06,247.11,221.99,247.99,221.28,170.43M,11.62%,11.617507565834062
2022-11-13,241.22,241.99,247.0,237.63,137.34M,-2.38%,-2.383553882886169
2022-11-20,247.49,241.43,248.7,240.71,74.77M,2.60%,2.599286957963698
2022-11-27,255.02,246.08,256.12,238.21,137.93M,3.04%,3.042547173623178
2022-12-04,245.42,252.01,253.82,242.21,109.60M,-3.76%,-3.764410634460047
2022-12-11,244.69,247.45,263.92,243.51,229.94M,-0.30%,-0.2974492706380838
2022-12-18,238.73,244.86,245.62,233.87,128.40M,-2.44%,-2.4357350116473886
2022-12-25,239.82,238.7,241.92,234.17,75.85M,0.46%,0.45658275038746865
2023-01-01,224.93,243.08,245.75,219.35,159.56M,-6.21%,-6.20882328412976
