,Microsoft Corp,Nike Inc,Procter & Gamble Co,Salesforce Inc,Travelers Companies Inc,Unitedhealth Group Inc,Verizon Communications Inc,Visa Inc,3M Co,Amazon.com Inc,American Express Co,Amgen Inc,Apple Inc,Boeing Co,Caterpillar Inc,Chevron Corp,Cisco Systems Inc,Coca-Cola Co,Dow Inc,Goldman Sachs Group Inc,Home Depot Inc,Honeywell International Inc,Intel Corp,International Business Machines Corp,Johnson & Johnson,JPMorgan Chase & Co,McDonald's Corp,Merck & Co Inc
,MSFT,NKE,PG,CRM,TRV,UNH,VZ,DIS,MMM,AMZN,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DOW,GS,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK
01/01/2023,-6.21%,6.43%,1.56%,5.97%,3.40%,-7.58%,7.08%,4.81%,5.67%,2.48%,1.64%,4.78%,-0.24%,11.82%,3.88%,-1.63%,1.43%,-0.33%,9.19%,1.37%,0.53%,-1.88%,8.70%,1.99%,2.04%,2.86%,2.25%,3.51%
12/25/2022,0.46%,0.65%,-0.69%,2.43%,-1.05%,-0.21%,2.58%,0.94%,-0.18%,-1.47%,0.50%,-0.48%,-1.46%,0.76%,-0.13%,1.18%,0.34%,-0.33%,-0.92%,-0.62%,-0.90%,0.20%,1.30%,-0.54%,-0.47%,2.15%,-1.51%,-0.81%
12/18/2022,-2.44%,9.72%,1.45%,0.91%,3.65%,1.45%,3.48%,-0.51%,-1.27%,-2.97%,0.49%,-1.31%,-1.97%,2.36%,3.07%,5.14%,-0.69%,1.71%,2.13%,-0.24%,-1.43%,1.97%,-3.08%,1.06%,1.03%,1.54%,0.54%,2.44%
12/11/2022,-0.30%,-3.17%,-0.32%,-2.17%,-1.54%,-2.87%,-0.75%,-0.87%,-3.24%,-1.38%,-4.94%,-4.03%,-5.38%,2.87%,2.39%,0.43%,-1.34%,-0.62%,-0.80%,-3.56%,0.89%,-0.89%,-4.67%,-4.69%,-0.04%,-2.17%,-2.18%,0.39%
12/04/2022,-3.76%,-2.48%,0.21%,-9.30%,-2.05%,0.57%,-2.04%,-4.12%,-0.97%,-5.35%,-1.82%,-2.40%,-3.82%,-1.82%,-3.74%,-7.20%,-2.49%,-1.88%,-2.62%,-5.63%,-2.29%,-3.40%,-3.98%,-1.09%,-1.76%,-2.22%,-0.50%,-1.15%
11/27/2022,3.04%,5.89%,2.65%,-5.73%,0.33%,-0.27%,-2.15%,1.81%,-1.59%,0.77%,1.69%,0.62%,-0.20%,2.53%,0.18%,-1.45%,2.69%,2.65%,-0.02%,-2.13%,0.49%,-0.44%,0.24%,0.20%,0.93%,-1.16%,-0.58%,2.36%
11/20/2022,2.60%,0.51%,2.91%,3.59%,2.36%,1.44%,1.22%,1.42%,1.80%,-0.78%,1.08%,-1.24%,-2.10%,2.57%,1.85%,0.39%,1.28%,2.54%,2.98%,2.55%,4.21%,2.57%,-1.77%,0.49%,0.59%,2.17%,0.60%,3.14%
11/13/2022,-2.38%,-0.63%,1.13%,-6.14%,1.56%,1.52%,0.65%,2.83%,-4.68%,-6.60%,-1.54%,0.80%,1.06%,-2.03%,-2.14%,-1.86%,6.70%,-0.29%,-5.78%,-1.55%,-0.56%,0.85%,-1.84%,3.12%,4.11%,-1.08%,0.73%,6.40%
11/06/2022,11.62%,10.75%,4.86%,12.85%,-0.73%,-2.99%,2.85%,4.07%,6.52%,10.78%,7.03%,5.94%,8.18%,10.92%,3.79%,1.66%,0.61%,3.48%,8.38%,7.62%,10.88%,2.35%,7.91%,4.53%,-1.30%,3.54%,-1.18%,-1.25%
10/30/2022,-6.14%,2.09%,-0.58%,-14.26%,0.60%,-2.37%,-1.14%,-5.90%,-1.39%,-12.02%,-3.80%,-1.74%,-11.15%,11.24%,3.88%,1.91%,-2.45%,-2.47%,3.26%,4.71%,-4.90%,1.42%,-2.99%,-1.12%,-1.94%,3.65%,0.04%,-1.56%
10/23/2022,-2.58%,6.02%,5.16%,1.78%,3.25%,3.28%,6.56%,9.96%,8.38%,-13.33%,7.43%,8.68%,5.75%,1.78%,15.31%,3.92%,6.64%,8.58%,1.30%,5.14%,8.39%,12.10%,7.79%,6.63%,3.65%,3.15%,7.85%,5.33%
10/16/2022,5.93%,1.09%,2.80%,12.62%,7.92%,4.01%,-2.83%,4.24%,2.80%,11.62%,2.36%,0.24%,6.42%,6.14%,6.75%,8.15%,6.47%,1.78%,3.88%,8.37%,-0.33%,4.97%,4.09%,8.21%,2.58%,9.93%,4.68%,3.79%
10/09/2022,-2.42%,0.45%,0.65%,-5.37%,4.09%,1.64%,-1.28%,-0.66%,5.68%,-6.69%,-1.58%,9.74%,-1.22%,2.59%,0.36%,0.07%,-0.17%,0.86%,1.60%,-0.36%,-2.78%,1.60%,0.74%,1.03%,2.66%,4.92%,4.28%,5.23%
10/02/2022,0.58%,4.86%,-1.57%,4.48%,2.40%,-0.04%,-2.95%,3.48%,-2.70%,1.38%,3.03%,1.61%,1.37%,7.19%,8.21%,11.39%,0.68%,-2.70%,1.09%,2.74%,3.04%,2.66%,-0.19%,0.01%,-1.93%,1.42%,1.06%,1.72%
09/25/2022,-2.11%,-14.33%,-6.88%,-2.16%,-1.47%,-1.67%,-3.92%,-3.43%,-2.20%,-0.69%,-3.81%,-0.69%,-8.13%,-7.76%,-0.10%,-0.76%,-1.62%,-4.40%,0.07%,-2.95%,1.85%,-2.57%,-6.36%,-3.18%,-2.02%,-4.25%,-6.18%,-0.76%
09/18/2022,-2.79%,-6.82%,-1.95%,-2.97%,-4.22%,-1.42%,-4.19%,-4.83%,-3.10%,-7.89%,-8.37%,-1.80%,-0.18%,-9.03%,-8.49%,-7.47%,-6.10%,-1.58%,-5.43%,-7.43%,-1.82%,-3.37%,-5.88%,-3.58%,-0.53%,-6.78%,-3.51%,-1.07%
09/11/2022,-7.46%,-6.17%,-1.20%,-6.81%,-1.11%,-0.63%,-2.34%,-5.80%,-5.27%,-7.31%,-3.38%,-6.68%,-4.24%,-8.40%,-5.29%,-2.20%,-5.40%,-4.46%,-8.10%,-4.08%,-7.94%,-7.48%,-7.06%,-1.49%,1.14%,-1.75%,-1.78%,0.44%
09/04/2022,3.28%,4.95%,2.04%,5.79%,0.89%,1.55%,2.28%,3.76%,1.19%,4.52%,5.77%,2.19%,1.00%,3.75%,4.79%,1.34%,2.65%,1.91%,2.43%,2.60%,2.70%,2.57%,0.77%,1.10%,1.82%,4.80%,1.97%,1.29%
08/28/2022,-4.49%,-2.35%,-3.61%,-6.98%,-2.48%,-2.44%,-4.51%,-2.53%,-5.80%,-2.48%,-4.78%,0.71%,-4.77%,-7.73%,-5.78%,-3.40%,-2.83%,-3.11%,-9.46%,-1.46%,-2.08%,-3.20%,-6.41%,-1.99%,-0.93%,-0.84%,-0.95%,-3.39%
08/21/2022,-6.31%,-4.31%,-4.97%,-10.09%,-3.36%,-3.48%,-2.63%,-4.67%,-11.06%,-5.41%,-3.04%,-4.07%,-4.61%,0.99%,-1.88%,3.63%,-5.77%,-3.16%,-1.86%,-3.68%,-7.23%,-4.22%,-5.71%,-5.77%,-2.98%,-3.34%,-3.60%,-3.06%
08/14/2022,-1.97%,-2.51%,2.09%,-3.22%,0.63%,0.85%,-1.62%,0.71%,-4.62%,-3.71%,-2.17%,0.99%,-0.34%,-4.16%,-0.63%,-1.35%,4.48%,2.31%,-0.79%,-1.29%,2.04%,0.34%,-2.02%,3.25%,2.43%,-2.87%,1.66%,1.16%
08/07/2022,3.18%,1.93%,1.35%,-0.15%,7.93%,1.61%,0.44%,-2.10%,3.28%,1.95%,5.29%,0.87%,4.08%,3.00%,6.18%,4.04%,3.55%,0.50%,8.62%,5.72%,1.68%,4.47%,2.03%,1.15%,-3.40%,5.50%,1.14%,4.13%
07/31/2022,0.77%,-0.91%,4.18%,3.34%,0.16%,-1.34%,-2.68%,1.77%,2.91%,4.33%,2.27%,-0.49%,1.75%,3.60%,-6.49%,-6.19%,-0.79%,-1.23%,-3.23%,0.38%,2.91%,-0.10%,-2.53%,1.29%,-1.95%,0.35%,-1.57%,-2.16%
07/24/2022,7.83%,5.32%,-2.87%,0.85%,1.46%,4.01%,3.91%,-0.74%,6.80%,10.24%,0.66%,0.62%,5.46%,0.73%,10.99%,13.59%,2.05%,4.19%,4.64%,2.92%,-1.84%,6.06%,-7.37%,1.98%,1.39%,0.52%,3.69%,-0.85%
07/17/2022,1.42%,4.22%,-1.41%,9.02%,0.15%,-1.57%,-12.88%,1.74%,3.07%,7.81%,7.39%,-1.10%,2.61%,7.05%,3.02%,4.75%,3.23%,-1.46%,2.62%,10.23%,4.85%,5.02%,1.50%,-8.34%,-3.43%,1.60%,-0.40%,-5.11%
07/10/2022,-4.09%,-2.99%,0.03%,-4.63%,-7.59%,2.14%,1.05%,3.18%,1.10%,-1.72%,0.51%,0.08%,2.13%,6.23%,-3.19%,-3.59%,-0.74%,-1.01%,-3.56%,-0.88%,2.07%,-0.31%,1.66%,-0.39%,-0.03%,-1.23%,0.70%,2.35%
07/03/2022,3.11%,6.67%,-0.75%,4.34%,-1.27%,0.24%,-2.23%,2.20%,0.18%,5.46%,0.97%,1.19%,5.84%,-0.55%,0.45%,-2.55%,1.85%,-1.93%,-0.60%,-0.92%,2.65%,-1.01%,4.54%,-0.46%,-0.69%,0.27%,0.11%,0.39%
06/26/2022,-3.03%,-10.39%,1.22%,-9.53%,2.68%,4.39%,1.33%,-3.08%,-4.35%,-5.92%,-3.93%,0.07%,-1.93%,-1.19%,-3.88%,1.20%,-3.40%,2.13%,-2.73%,-1.16%,-1.39%,-2.73%,-5.88%,-0.66%,-1.52%,-2.79%,2.04%,-0.76%
